Mon,Year,Temp
5,1997,17.69
5,1998,17.35
5,1999,18.48
5,2000,18.78
5,2001,18.3
5,2002,17.14
5,2003,19.34
5,2004,15.59
5,2005,18.45
5,2006,17.81
5,2007,18.18
5,2008,17.68
5,2009,19.03
5,2010,16.67
5,2011,18.13
5,2012,16.94
5,2013,16.58
5,2014,16.81
5,2015,18.13
5,2016,16.84
5,2017,18.19
5,2018,18.21
5,2019,15.07
5,2020,18.41
6,1980,18.9
6,1981,20.77
6,1982,21.75
6,1983,20.15
6,1984,19.05
6,1985,20.07
6,1986,19.85
6,1987,19.66
6,1988,19.92
6,1989,19.63
6,1990,20.35
6,1991,19.71
6,1992,19.2
6,1993,21.4
6,1994,20.59
6,1995,19.57
6,1996,21.17
6,1997,21.17
6,1998,21.72
6,1999,21.52
6,2000,22.05
6,2001,21.23
6,2002,22.34
6,2003,24.91
6,2004,21.14
6,2005,22.22
6,2006,21.39
6,2007,21.53
6,2008,21.42
6,2009,21.45
6,2010,21.02
6,2011,21.31
6,2012,22.53
6,2013,20.71
6,2014,21.84
6,2015,22.03
6,2016,21.17
6,2017,23.32
6,2018,22.01
6,2019,23.46
6,2020,20.8
7,1980,21.17
7,1981,21.84
7,1982,24.29
7,1983,24.81
7,1984,22.97
7,1985,24.06
7,1986,22.74
7,1987,24.03
7,1988,24.43
7,1989,23.32
7,1990,23.42
7,1991,23.88
7,1992,22.45
7,1993,22.46
7,1994,24.72
7,1995,24.66
7,1996,22.64
7,1997,22.84
7,1998,24.34
7,1999,23.82
7,2000,22.78
7,2001,23.86
7,2002,23.33
7,2003,25.84
7,2004,23.82
7,2005,24.42
7,2006,25.43
7,2007,24.15
7,2008,23.91
7,2009,24.34
7,2010,25.14
7,2011,23.04
7,2012,24.84
7,2013,24.56
7,2014,22.72
7,2015,26.55
7,2016,24.61
7,2017,24.8
7,2018,25.03
7,2019,25.36
7,2020,24.58
8,1980,23.37
8,1981,22.77
8,1982,23.05
8,1983,22.93
8,1984,21.95
8,1985,23.25
8,1986,23.86
8,1987,23.72
8,1988,24.02
8,1989,23.58
8,1990,23.25
8,1991,24.18
8,1992,24.65
8,1993,24.53
8,1994,25.49
8,1995,23.08
8,1996,23.08
8,1997,23.45
8,1998,24.71
8,1999,24.58
8,2000,24.41
8,2001,24.69
8,2002,22.75
8,2003,26.99
8,2004,24.12
8,2005,22.75
8,2006,22.78
8,2007,23.58
8,2008,24.37
8,2009,25.53
8,2010,23.57
8,2011,24.65
8,2012,25.88
8,2013,24.6
8,2014,23.3
8,2015,24.75
8,2016,24.0
8,2017,25.78
8,2018,24.89
8,2019,25.33
8,2020,25.34
9,1980,20.48
9,1981,20.23
9,1982,21.35
9,1983,20.4
9,1984,18.71
9,1985,21.25
9,1986,20.15
9,1987,22.43
9,1988,19.79
9,1989,19.68
9,1990,20.4
9,1991,21.34
9,1992,20.38
9,1993,19.88
9,1994,20.74
9,1995,18.81
9,1996,18.03
9,1997,21.04
9,1998,20.03
9,1999,21.43
9,2000,20.76
9,2001,19.07
9,2002,19.2
9,2003,20.37
9,2004,20.8
9,2005,20.53
9,2006,21.01
9,2007,19.81
9,2008,19.82
9,2009,21.3
9,2010,19.86
9,2011,22.38
9,2012,20.97
9,2013,20.94
9,2014,21.02
9,2015,20.92
9,2016,21.28
9,2017,19.69
9,2018,21.93
9,2019,21.46
9,2020,21.72
10,1980,15.34
10,1981,16.31
10,1982,15.77
10,1983,15.6
10,1984,15.76
10,1985,16.2
10,1986,16.68
10,1987,17.15
10,1988,17.33
10,1989,14.73
10,1990,17.55
10,1991,15.26
10,1992,16.0
10,1993,16.24
10,1994,15.95
10,1995,16.51
10,1996,15.12
10,1997,16.28
10,1998,16.05
10,1999,17.03
10,2000,16.18
10,2001,18.39
10,2002,16.21
10,2003,15.73
10,2004,17.89
10,2005,16.03
10,2006,17.51
10,2007,15.75
10,2008,16.98
10,2009,15.66
10,2010,15.31
10,2011,15.91
10,2012,17.16
10,2013,17.68
10,2014,17.88
10,2015,16.37
10,2016,16.39
10,2017,16.68
10,2018,17.75
10,2019,17.86
11,1980,10.83
11,1981,9.54
11,1982,11.77
11,1983,10.81
11,1984,12.13
11,1985,10.73
11,1986,11.44
11,1987,11.64
11,1988,9.29
11,1989,10.44
11,1990,11.24
11,1991,10.67
11,1992,12.67
11,1993,10.62
11,1994,12.86
11,1995,10.63
11,1996,12.09
11,1997,11.95
11,1998,9.95
11,1999,11.12
11,2000,12.5
11,2001,11.25
11,2002,13.54
11,2003,12.61
11,2004,11.87
11,2005,11.22
11,2006,12.32
11,2007,10.45
11,2008,12.12
11,2009,12.42
11,2010,12.16
11,2011,11.84
11,2012,13.35
11,2013,12.1
11,2014,14.16
11,2015,12.58
11,2016,12.38
11,2017,11.39
11,2018,13.04
11,2019,12.92
12,1980,6.28
12,1981,7.89
12,1982,8.51
12,1983,7.34
12,1984,8.28
12,1985,9.13
12,1986,7.02
12,1987,8.94
12,1988,7.32
12,1989,8.35
12,1990,6.15
12,1991,5.59
12,1992,8.32
12,1993,9.13
12,1994,8.86
12,1995,9.05
12,1996,8.34
12,1997,8.64
12,1998,6.79
12,1999,8.16
12,2000,9.81
12,2001,5.99
12,2002,8.38
12,2003,8.4
12,2004,9.34
12,2005,6.95
12,2006,9.33
12,2007,7.36
12,2008,8.0
12,2009,8.38
12,2010,7.28
12,2011,9.12
12,2012,7.69
12,2013,8.62
12,2014,9.49
12,2015,9.28
12,2016,8.51
12,2017,7.41
12,2018,8.91
12,2019,10.03
